indicator_id,indicator_name,indicator_type,indicator_type_id
1,"Sex ratio of the total population(females per 1,000 males)",Neutral,1
2,"Sex ratio at birth for children(0-6 years) born in the last five years(females per 1,000 males)",Neutral,1
3,Population(6 years and above) who ever attended school(Male) (%),Neutral,1
4,Population(6 years and above) who ever attended school(Female) (%),Neutral,1
5,Women(15-49 years) with 10 or more years of schooling (%),Positive,2
6,Women(20-24 years) married before age 18 years (%),Negative,3
7,Household population having an Aadhaar Card (%),Neutral,1
8,Households having BPL card (%),Neutral,1
9,Households owning agricultural land (%),Neutral,1
10,Households with electricity (%),Positive,2
11,Households with an improved drinking water source (%),Positive,2
12,Households using improved sanitation facility (%),Positive,2
13,"Households with no toilet facility, defecating in open space/field (%)",Negative,3
14,Households using clean fuel for cooking (%),Positive,2
15,Households having pucca house (%),Neutral,1
16,Households with presence of water and soap/detergent at handwashing place (%),Neutral,1
17,Households with any usual member covered by a health scheme or health insurance (%),Neutral,1
18,Household population having any form of disability (hearing/speech/visual/mental/locomotive/other) (%),Negative,3
19,Households having access to internet (%),Positive,2
20,Households owning a mobile/telephone (%),Positive,2
21,"Women(15-49 years) with exposure to mass media i.e.,newspaper,TV,radio,watch movie in theatre (%)",Positive,2
22,Women(15-49 years) using internet (%),Positive,2
23,Menstruating woman(15-24 years) using hygienic method for blood stain prevention during menstruation (%),Positive,2
24,Currently married women(15-49 years) using any family planning method (%),Positive,2
25,Currently married women(15-49 years) using female sterilization (%),Neutral,1
26,Currently married women(15-49 years) using male sterilization (%),Neutral,1
27,Currently married women(15-49 years) using modern contraceptive obtained from public health facility (%),Neutral,1
28,Total unmet need among currently married women(15-49 years) (%),Negative,3
29,Total unmet need for spacing among currently married women(15-49 years) (%),Negative,3
30,Women(15-19 years) who were already mothers or pregnant at the time of the survey (%),Neutral,1
31,Mothers who had antenatal check-up in the first trimester (%),Neutral,1
32,Mothers who had at least four antenatal care visits during last pregnancy (%),Positive,2
33,Mothers who consumed iron & folic acid for 100 days or more when they were pregnant (%),Neutral,1
34,Mothers who had full antenatal care (%),Positive,2
35,Registered pregnancies for which the mother received Mother and Child Protection card (%),Neutral,1
36,Mothers(15-49 years) who received advice on breastfeeding from any provider during pregnancy (%),Positive,2
37,Mothers(15-49 years) who received health and nutrition education from the AWC during pregnancy (%),Positive,2
38,Mothers(15-49 years) who received food supplements from the anganwadi center during pregnancy (%),Neutral,1
39,Institutional births (%),Positive,2
40,Institutional births in public facility (%),Positive,2
41,Births delivered by caesarean section (%),Neutral,1
42,Home births that were conducted by skilled health personnel (%),Neutral,1
43,Births in a public health facility delivered by caesarean section (%),Neutral,1
44,Mothers who received financial assistance under Janani Suraksha Yojana for births delivered in an institution (%),Positive,2
45,Average out of pocket expenditure per delivery in ANY health facility in INR,Neutral,1
46,Women who had first postnatal check-up within two days (%),Neutral,1
47,Children born at home within the five years preceding the survey received PNC within 24 hours of delivery (%),Neutral,1
48,Children under age 5 years whose birth was registered (%),Neutral,1
49,"Children(12-23 months) fully immunized (BCG, measles, and 3 doses of Polio and DPT) (%)",Positive,2
50,Children(12-23 months) who have received measles vaccine (%),Neutral,1
51,Children(9-59 months) who received a vitamin A dose in last six months (%),Neutral,1
52,"Children under age five years suffered from diarrhoea in the last two weeks, preceding the survey (%)",Negative,3
53,Advice or treatment sought for children suffering from diarrhoea in last two weeks (%),Neutral,1
54,Children with diarrhoea in last two weeks who received ORS (%),Neutral,1
55,Children with diarrhoea in the last two weeks who received zinc (%),Neutral,1
56,Children with diarrhoea in the last two weeks who received both ORS and zinc (%),Neutral,1
57,Prevalence of symptoms of acute respiratory infection among children under age 5 years within the last two weeks preceding the survey (%),Neutral,1
58,Children under age 5 years with ARI Symptoms in last 2 weeks who sought medical treatment same/next day (%),Neutral,1
59,Children with low birth weight (<2500 g) (for births in the 5 years before the survey) (%),Negative,3
60,Children under age three years breastfed within one hour of birth (%),Neutral,1
61,Children exclusively breastfed for 0-6 months (%),Neutral,1
62,Total children(6-23 months) receiving an adequate diet (%),Positive,2
63,Children under 5 years who are stunted(height-for-age) (%),Negative,3
64,Children under 5 years who are wasted(weight-for-height) (%),Negative,3
65,Children under 5 years who are severely wasted(weight-for-height) (%),Negative,3
66,Children under 5 years who are underweight(weight-for-age) (%),Negative,3
67,Children under 5 years who are overweight(weight-for-height) (%),Negative,3
68,Children aged 6 - 59 months who are anaemic (<11.0g/dl) (%),Negative,3
69,Children under age 6 years who received food supplimentation from anganwadi centre in past 12 months (%),Neutral,1
70,Mothers of children under age 6 years who received any services from AWC while breastfeeding (%),Positive,2
71,Children(6-59 months) who given deworming medication in past 6 months (%),Positive,2
72,Children(6-59 months) who given iron supplimentation in past 7 days (%),Neutral,1
73,Children(0-59 months) who were weighed at anganwadi centre in last 12 months (%),Neutral,1
74,Children(0-59 months) who were weighed at anganwadi centre in last 12 months and their mother were counselled from AWC (%),Neutral,1
75,Women(15-49 years) whose BMI is below normal (BMI < 18.5 kg/m2) (%),Negative,3
76,Men(15-49 years) whose BMI is below normal (BMI < 18.5 kg/m2) (%),Negative,3
77,Women(15-49 years)  who are overweight or obese (BMI >= 25.0 kg/m2) (%),Negative,3
78,Men(15-49 years) who are overweight or obese (BMI >= 25.0 kg/m2) (%),Negative,3
79,Men(15-49 years) with increased risk of metabolic complication(Waist-to-hip ratio>0.90 cm) (%),Neutral,1
80,Women(15-49 years) with increased risk of metabolic complication(Waist-to-hip ratio>0.85 cm) (%),Neutral,1
81,Pregnant women(15-49 years) who are anaemic(<11.0 g/dl) (%),Negative,3
82,Women(15-49 years) years who are anaemic(<12.0 g/dl) (%),Negative,3
83,Women(15-49 years) with high blood sugar level(>140 mg/dl) or taking medicine to control blood sugar level (%),Neutral,1
84,Men(15-49 years) with high blood sugar level(>140 mg/dl) or taking medicine to control blood sugar level (%),Neutral,1
85,Women(15-49 years) with elevated blood pressure (Systolic >=140 mm of Hg and/or Diastolic >=90 mm of Hg) or taking medicine to control blood pressure (%),Negative,3
