data_id,state_id,indicator_id,categories_id,nfhs_id,ST,Non-ST,Total
1,35,1,1,2,958,963,963
2,35,2,1,2,959,844,856
3,35,3,1,2,86.4,91.1,90.7
4,35,4,1,2,78.7,84.1,83.6
5,35,5,1,2,57.1,52.1,52.5
6,35,6,1,2,13.1,16.5,16.2
7,35,7,1,2,97.2,97.8,97.7
8,35,8,1,2,31.4,9.9,11.6
9,35,9,1,2,12.1,11.4,11.4
10,35,10,1,2,98,97.4,97.5
11,35,11,1,2,98.2,96.2,96.4
12,35,12,1,2,97.4,95.8,95.9
13,35,13,1,2,2.2,3.8,3.7
14,35,14,1,2,55.6,81.8,79.8
15,35,15,1,2,27.3,73.3,69.7
16,35,16,1,2,63.2,80,78.7
17,35,17,1,2,2.4,1.8,1.8
18,35,18,1,2,1.1,0.9,0.9
19,35,19,2,2,13.1,36,34.2
20,35,20,2,2,84.6,97.6,96.6
21,35,21,2,2,71.7,86.3,85.1
22,35,22,2,2,24.4,36.4,34.8
23,35,23,3,2,100,98.7,98.8
24,35,24,3,2,58,66.4,65.8
25,35,25,3,2,45.1,38.7,39.2
26,35,26,3,2,0,0.2,0.2
27,35,27,3,2,96.5,80.8,81.9
28,35,28,3,2,10.8,13.7,13.5
29,35,29,3,2,3.7,6.3,6.1
30,35,30,4,2,1.1,3.2,3
31,35,31,4,2,70.6,77.8,77.1
32,35,32,4,2,77.3,84.3,83.6
33,35,33,4,2,74.8,81.6,80.9
34,35,34,4,2,57.5,66.9,65.9
35,35,35,4,2,99.3,98.9,98.9
36,35,36,4,2,69.6,58.5,59.6
37,35,37,4,2,47.4,40.5,41.2
38,35,38,4,2,56.9,50.6,51.2
39,35,39,5,2,98.9,99,98.9
40,35,40,5,2,98.9,85.8,87.3
41,35,41,5,2,15.5,31.6,29.9
42,35,42,5,2,50.7,39.5,42.3
43,35,43,5,2,15.7,24.8,23.6
44,35,44,5,2,6.3,0.1,0.7
45,35,45,5,2,2463,4638,4378
46,35,46,6,2,87.2,89.3,89.1
47,35,47,6,2,0,0,0
48,35,48,7,2,95.4,97.7,97.4
49,35,49,7,2,67.2,69.6,69.4
50,35,50,7,2,67.2,78.1,77.2
51,35,51,7,2,32.2,41.9,40.9
52,35,52,7,2,6.2,5.6,5.6
53,35,53,7,2,100,81.6,83.9
54,35,54,7,2,59.9,65.7,65
55,35,55,7,2,35.7,45.2,44
56,35,56,7,2,35.7,33.1,33.4
57,35,57,7,2,0.9,1.7,1.7
58,35,58,7,2,100,32.1,36.2
59,35,59,8,2,14.7,17.7,17.4
60,35,60,8,2,57.4,45.8,46.9
61,35,61,8,2,55,75.7,73.3
62,35,62,8,2,15.1,19.8,19.5
63,35,63,8,2,21.9,22.5,22.5
64,35,64,8,2,15.8,16,16
65,35,65,8,2,4.5,4.9,4.8
66,35,66,8,2,18.1,24.2,23.6
67,35,67,8,2,1.1,5.9,5.4
68,35,68,8,2,30.5,40.9,40
69,35,69,8,2,56.2,48,48.8
70,35,70,8,2,51.8,41.8,42.9
71,35,71,8,2,26,33.7,32.9
72,35,72,8,2,30.4,27.9,28.2
73,35,73,8,2,57.2,50.8,51.5
74,35,74,8,2,78.3,62.5,64.4
75,35,75,9,2,6.4,9.7,9.4
76,35,76,9,2,0,5.1,4.4
77,35,77,9,2,43.9,37.6,38.1
78,35,78,9,2,49.3,43.5,44.3
79,35,79,9,2,42.8,58.3,56.3
80,35,80,9,2,61.4,78.7,77.3
81,35,81,9,2,55.6,53.5,53.7
82,35,82,9,2,30.5,59.8,57.5
83,35,83,10,2,7.5,11.8,11.4
84,35,84,10,2,16.8,17.9,17.8
85,35,85,11,2,28.6,14.2,15.1
86,35,86,11,2,31.7,20.9,21.5
87,35,87,12,2,70.2,27.7,31.3
88,35,88,12,2,82,56.5,58.7
89,35,89,12,2,31.5,2.6,5
90,35,90,12,2,69,36,38.8
91,35,91,13,2,42.5,31.7,32.5
92,35,92,13,2,800,100,200
93,35,93,13,2,96,96.1,96.1
94,35,94,13,2,94.5,79.5,81.7
95,35,95,14,2,23.5,24.7,24.6
96,35,96,14,2,22.8,14.7,15.8
97,35,97,14,2,74.2,91.5,89.2
98,35,98,14,2,50.2,85.5,80.8
99,35,99,15,2,21.5,19.7,19.9
100,35,100,15,2,9.1,5.7,6.1
101,35,101,15,2,0,0.4,0.4
102,35,102,15,2,1.6,0,1.5
103,35,103,16,2,93.4,99,98.3
104,35,104,16,2,99.1,92.5,93.5
105,35,105,16,2,93.4,98,97.4
106,35,106,16,2,99.1,92,93.1
107,35,107,16,2,17.7,14.5,14.9
108,35,108,16,2,18,35.4,32.9
109,35,109,17,2,10.1,20.6,19.8
110,35,110,17,2,35,54.6,53.1
111,35,111,17,2,6.6,3.9,4.1
112,35,112,17,2,1.8,2.2,2.2
113,35,113,17,2,8.7,2.6,2.9
114,35,114,17,2,6.6,7.7,7.7
115,28,1,1,2,*,905,905
116,28,2,1,2,*,850,852
117,28,3,1,2,68.8,80,79.6
118,28,4,1,2,53.2,66.1,65.6
119,28,5,1,2,27.4,40.2,39.6
120,28,6,1,2,37.3,28.9,29.3
121,28,7,1,2,93.5,96.7,96.6
122,28,8,1,2,92.9,89.7,89.8
123,28,9,1,2,36.5,28.7,29.1
124,28,10,1,2,96.9,99.2,99.1
125,28,11,1,2,80.6,97.3,96.7
126,28,12,1,2,65.1,83.2,82.4
127,28,13,1,2,33.7,15.6,16.3
128,28,14,1,2,52.9,84.9,83.6
129,28,15,1,2,65.7,85.4,84.6
130,28,16,1,2,43.6,52.2,51.9
131,28,17,1,2,85.1,80,80.2
132,28,18,1,2,0.9,0.9,0.9
133,28,19,2,2,19.4,33.2,32.7
134,28,20,2,2,81.3,91.6,91.2
135,28,21,2,2,73.7,79.1,78.8
136,28,22,2,2,11.1,21.3,21
137,28,23,3,2,75.5,85.7,85.2
138,28,24,3,2,56.7,71.7,71.1
139,28,25,3,2,53.6,70.3,69.6
140,28,26,3,2,2.4,0.4,0.4
141,28,27,3,2,89.5,70.1,70.8
142,28,28,3,2,6.5,4.6,4.7
143,28,29,3,2,5,2.5,2.6
144,28,30,4,2,21.7,12.1,12.6
145,28,31,4,2,80.8,81.8,81.7
146,28,32,4,2,59.8,67.9,67.5
147,28,33,4,2,69.9,70.3,70.3
148,28,34,4,2,39.6,47.2,46.8
149,28,35,4,2,97.8,96.5,96.5
150,28,36,4,2,82.3,78.6,78.8
151,28,37,4,2,92.2,83.3,83.8
152,28,38,4,2,95.2,84.4,85.1
153,28,39,5,2,89.3,97,96.5
154,28,40,5,2,72.3,49,50.4
155,28,41,5,2,21.7,43.7,42.4
156,28,42,5,2,NA,43.2,39.9
157,28,43,5,2,16.2,27.5,26.6
158,28,44,5,2,45.3,23.2,24.4
159,28,45,5,2,2844,9888,9472
160,28,46,6,2,82.2,91.8,91.3
161,28,47,6,2,NA,NA,10.5
162,28,48,7,2,72.6,93.2,92
163,28,49,7,2,*,72.5,72.2
164,28,50,7,2,*,87,87
165,28,51,7,2,39,39.7,39.6
166,28,52,7,2,5.3,7.3,7.2
167,28,53,7,2,*,76.8,77.3
168,28,54,7,2,*,63.2,62.5
169,28,55,7,2,*,41.7,41.8
170,28,56,7,2,*,29.3,29.2
171,28,57,7,2,2.3,2.4,2.4
172,28,58,7,2,*,53.7,53.1
173,28,59,8,2,17.4,16.1,16.2
174,28,60,8,2,55.7,51.8,52
175,28,61,8,2,*,66.9,68
176,28,62,8,2,*,8.5,8.3
177,28,63,8,2,44.5,30.3,31.2
178,28,64,8,2,20,15.8,16.1
179,28,65,8,2,3.8,6.1,6
180,28,66,8,2,45.2,28.7,29.6
181,28,67,8,2,1.2,2.8,2.7
182,28,68,8,2,79.5,63.3,64.2
183,28,69,8,2,84.7,75.1,75.6
184,28,70,8,2,87,86.2,86.2
185,28,71,8,2,15.9,18.3,18.2
186,28,72,8,2,20.9,21.2,21.2
187,28,73,8,2,85,75.4,75.9
188,28,74,8,2,84.6,84.4,84.4
189,28,75,9,2,21,14.6,14.8
190,28,76,9,2,28.5,16.2,16.6
191,28,77,9,2,21.9,36.9,36.2
192,28,78,9,2,12,31.9,31.1
193,28,79,9,2,51.8,53.4,53.3
194,28,80,9,2,53,48.6,48.8
195,28,81,9,2,*,52.9,53.7
196,28,82,9,2,62.6,58.7,58.8
197,28,83,10,2,10.1,11.7,11.6
198,28,84,10,2,12.4,22.2,21.8
199,28,85,11,2,10.5,13.5,13.4
200,28,86,11,2,11.8,20.8,20.4
201,28,87,12,2,11.2,3.5,3.8
202,28,88,12,2,34.3,22.1,22.6
203,28,89,12,2,3.6,0.4,0.5
204,28,90,12,2,35.9,22.6,23.1
205,28,91,13,2,46.8,15.5,16.8
206,28,92,13,2,300,200,200
207,28,93,13,2,79.9,85.9,85.7
208,28,94,13,2,77.2,80.3,80.2
209,28,95,14,2,50.1,41.8,42.1
210,28,96,14,2,69.9,47.1,47.8
211,28,97,14,2,90.7,81.5,81.8
212,28,98,14,2,45.1,49.1,48.9
213,28,99,15,2,*,34.6,35
214,28,100,15,2,*,27.9,28.3
215,28,101,15,2,*,3.3,3.6
216,28,102,15,2,*,0.9,1
217,28,103,16,2,81.2,91.9,91.5
218,28,104,16,2,89.5,96.7,96.4
219,28,105,16,2,81.2,91.8,91.4
220,28,106,16,2,88.2,96.6,96.2
221,28,107,16,2,23.2,24.6,24.6
222,28,108,16,2,29.4,38.2,37.8
223,28,109,17,2,32.6,29.1,29.2
224,28,110,17,2,66.9,57.3,57.7
225,28,111,17,2,2.3,3.8,3.7
226,28,112,17,2,4.4,4.6,4.5
227,28,113,17,2,1.3,3.4,3.3
228,28,114,17,2,3,6.8,6.6
229,12,1,1,2,1010,955,997
230,12,2,1,2,950,988,959
231,12,3,1,2,81.2,84.1,81.9
232,12,4,1,2,70.4,73.8,71.2
233,12,5,1,2,41.7,32.1,39.4
234,12,6,1,2,17.6,22.2,18.8
235,12,7,1,2,90.9,88.9,90.5
236,12,8,1,2,65.8,38.2,59.4
237,12,9,1,2,62.8,33,55.8
238,12,10,1,2,94.8,94.5,94.7
