data_id,state_id,indicator_id,categories_id,nfhs_id,state_name,state_acronym,category,indicator_name,nfhs_round,ST,Non-ST,Total
1,35,1,1,2,Andaman & Nicobar,AN,Population and household profile,"Sex ratio of the total population(females per 1,000 males)",NFHS V,958,963,963
2,35,2,1,2,Andaman & Nicobar,AN,Population and household profile,"Sex ratio at birth for children(0-6 years) born in the last five years(females per 1,000 males)",NFHS V,959,844,856
3,35,3,1,2,Andaman & Nicobar,AN,Population and household profile,Population(6 years and above) who ever attended school(Male) (%),NFHS V,86.4,91.1,90.7
4,35,4,1,2,Andaman & Nicobar,AN,Population and household profile,Population(6 years and above) who ever attended school(Female) (%),NFHS V,78.7,84.1,83.6
5,35,5,1,2,Andaman & Nicobar,AN,Population and household profile,Women(15-49 years) with 10 or more years of schooling (%),NFHS V,57.1,52.1,52.5
6,35,6,1,2,Andaman & Nicobar,AN,Population and household profile,Women(20-24 years) married before age 18 years (%),NFHS V,13.1,16.5,16.2
7,35,7,1,2,Andaman & Nicobar,AN,Population and household profile,Household population having an Aadhaar Card (%),NFHS V,97.2,97.8,97.7
8,35,8,1,2,Andaman & Nicobar,AN,Population and household profile,Households having BPL card (%),NFHS V,31.4,9.9,11.6
9,35,9,1,2,Andaman & Nicobar,AN,Population and household profile,Households owning agricultural land (%),NFHS V,12.1,11.4,11.4
10,35,10,1,2,Andaman & Nicobar,AN,Population and household profile,Households with electricity (%),NFHS V,98,97.4,97.5
11,35,11,1,2,Andaman & Nicobar,AN,Population and household profile,Households with an improved drinking water source (%),NFHS V,98.2,96.2,96.4
12,35,12,1,2,Andaman & Nicobar,AN,Population and household profile,Households using improved sanitation facility (%),NFHS V,97.4,95.8,95.9
13,35,13,1,2,Andaman & Nicobar,AN,Population and household profile,"Households with no toilet facility, defecating in open space/field (%)",NFHS V,2.2,3.8,3.7
14,35,14,1,2,Andaman & Nicobar,AN,Population and household profile,Households using clean fuel for cooking (%),NFHS V,55.6,81.8,79.8
15,35,15,1,2,Andaman & Nicobar,AN,Population and household profile,Households having pucca house (%),NFHS V,27.3,73.3,69.7
16,35,16,1,2,Andaman & Nicobar,AN,Population and household profile,Households with presence of water and soap/detergent at handwashing place (%),NFHS V,63.2,80,78.7
17,35,17,1,2,Andaman & Nicobar,AN,Population and household profile,Households with any usual member covered by a health scheme or health insurance (%),NFHS V,2.4,1.8,1.8
18,35,18,1,2,Andaman & Nicobar,AN,Population and household profile,Household population having any form of disability (hearing/speech/visual/mental/locomotive/other) (%),NFHS V,1.1,0.9,0.9
19,35,19,2,2,Andaman & Nicobar,AN,Access to Communication/Mass Media,Households having access to internet (%),NFHS V,13.1,36,34.2
20,35,20,2,2,Andaman & Nicobar,AN,Access to Communication/Mass Media,Households owning a mobile/telephone (%),NFHS V,84.6,97.6,96.6
21,35,21,2,2,Andaman & Nicobar,AN,Access to Communication/Mass Media,"Women(15-49 years) with exposure to mass media i.e.,newspaper,TV,radio,watch movie in theatre (%)",NFHS V,71.7,86.3,85.1
22,35,22,2,2,Andaman & Nicobar,AN,Access to Communication/Mass Media,Women(15-49 years) using internet (%),NFHS V,24.4,36.4,34.8
23,35,23,3,2,Andaman & Nicobar,AN,Reproductive and Sexual Health,Menstruating woman(15-24 years) using hygienic method for blood stain prevention during menstruation (%),NFHS V,100,98.7,98.8
24,35,24,3,2,Andaman & Nicobar,AN,Reproductive and Sexual Health,Currently married women(15-49 years) using any family planning method (%),NFHS V,58,66.4,65.8
25,35,25,3,2,Andaman & Nicobar,AN,Reproductive and Sexual Health,Currently married women(15-49 years) using female sterilization (%),NFHS V,45.1,38.7,39.2
26,35,26,3,2,Andaman & Nicobar,AN,Reproductive and Sexual Health,Currently married women(15-49 years) using male sterilization (%),NFHS V,0,0.2,0.2
27,35,27,3,2,Andaman & Nicobar,AN,Reproductive and Sexual Health,Currently married women(15-49 years) using modern contraceptive obtained from public health facility (%),NFHS V,96.5,80.8,81.9
28,35,28,3,2,Andaman & Nicobar,AN,Reproductive and Sexual Health,Total unmet need among currently married women(15-49 years) (%),NFHS V,10.8,13.7,13.5
